BA	OPS    	HRp	BBK	Isop	IsoD	BIPA	SPD	PSN	PPA	AGG	AGGfp	CON	C2S	D2S	BCS	FG	InP %	OFP	OFBA	SS	RP	BAP
0.294	0.828	3.03	0.57	0.165	0.074	0.328	4.7	73.49	3.85	44.2	31.1	80.8	75.5	38.4	9.6	1.17	72.5	57.5	0.584	73	34.8	43.5
0.306	0.853	2.86	0.57	0.17	0.07	0.341	5.1	68.36	3.75	46.6	29.8	80.6	78.1	33.6	8.8	0.93	73.4	54.9	0.616	67.1	37.7	41.6
0.298	0.851	3.13	0.68	0.175	0.08	0.327	4.8	116.08	3.91	44.3	29.2	81.1	77.3	37.1	8.7	1.16	72.4	56.8	0.587	65.4	37.1	44.4
0.298	0.891	3.85	0.62	0.211	0.084	0.328	5.3	133.11	3.86	43.7	28.9	79.5	75.2	37.1	8.7	1	70.2	52.8	0.522	69.4	38.7	44.3
0.298	0.858	3.49	0.5	0.188	0.074	0.342	4.8	133.99	3.97	44.1	27.2	77.7	74.4	35.2	8.3	0.96	69.3	55.5	0.628	68	37.6	43.7
0.302	0.847	3.03	0.63	0.167	0.076	0.337	5.4	165.96	3.91	43.3	27	81.9	76.8	35.8	8.6	0.91	71.5	54.3	0.618	75.1	36.5	45
0.29	0.804	2.43	0.69	0.145	0.08	0.319	4.6	123.83	3.82	44.4	27.2	83	78.1	35.6	9	1	72.9	55.7	0.579	70.3	34.5	45.7
0.289	0.822	2.81	0.52	0.166	0.078	0.333	5.7	179.97	3.86	45.3	30.9	79.8	74.1	36.5	8.7	0.9	69.8	53.5	0.624	77.3	35.4	47.7
0.291	0.824	2.9	0.6	0.159	0.084	0.333	4.6	124.86	3.98	44.6	29.8	80.1	76	37.4	8.9	0.89	69.2	53.6	0.622	70.7	34.4	41.2
0.301	0.85	3.13	0.68	0.172	0.076	0.329	5.7	161	3.96	43.3	26.1	82.5	79.1	35.8	8.5	1.01	73.1	52.5	0.513	77.8	37.8	45.6
0.29	0.795	2.18	0.5	0.139	0.075	0.336	4.6	68.97	3.84	45.3	31	81.9	76.4	35.8	8.7	0.96	70.9	54.5	0.603	69.4	31.6	39.1
0.293	0.797	2.12	0.64	0.138	0.073	0.328	5.1	108.99	3.92	44.3	25.2	83.4	79.7	35.9	8.4	1	73.6	52.7	0.482	71.9	33.2	41.1
0.294	0.797	2.29	0.49	0.141	0.068	0.341	4.6	61.27	3.96	43.9	27	80.7	76.4	34.9	7.9	1	72.3	54.9	0.607	67.1	34	41.6
0.28	0.802	3.12	0.45	0.166	0.076	0.334	4.4	131.02	3.95	45.2	29.3	78.5	72.4	35.2	7.3	0.79	67.2	52.2	0.642	67.5	33.5	38.9
0.264	0.808	4.5	0.44	0.202	0.078	0.288	3.8	60.96	3.92	47	34.2	77.8	74.8	35.7	8.9	1.04	69.2	53.9	0.574	56.1	36.2	40.4
0.293	0.808	2.35	0.58	0.147	0.074	0.336	5.3	143.31	3.91	43.8	27	78.9	75.2	35.7	8.3	1	71.8	54.8	0.592	65	34.2	45.7
